# Compiled by Dhvanil Desai using 2013-2017 ASAS-SN Bright Supernova Catalogues from Holoien et al. (2017a, 2017b, 2017c, 2019)
# Date: Feb 04, 2022
# -----------------------------------------------------------------------------------------------------------------------------------------------------
# SNName           Name of supernova
# IAUName          IAU name of supernova
# DiscDate         Discovery Date
# RA               Right Ascension (J2000)
# Dec              Declination (J2000)
# Redshift         Redshift of supernova
# DiscMag          Discovery V-band or g-band Magnitude
# PeakMag          Peak Magnitude
# PeakMagV         Peak V-band Magnitude
# PeakMagg         Peak g-band Magnitude
# Offset           Offset from host nucleus
# Type             Type of supernova
# DiscAge          Age of supernova at discovery, relative to peak
# HostName         Host galaxy name
# Recovered        Was the supernova recovered by ASAS-SN?
# l                Galactic longitude [degrees]
# b                Galactic latitude [degrees]
# MagV_corrected   PeakMagV corrected for Galactic extinction and K-corrections
# dist_mod         Distance modulus computed using the Redshift
# abs_M_peak       Absolute peak V-band magnitude (MagV_corrected - dist_mod)
# comp_SNIa        Completeness correction factor for a supernova of given apparent and absolute magnitude
# F2_SNIa          Volumetric correction factor
# weighted_N       The total weight for each supernova (1 / (comp_SNIa * F2_SNIa))
# -----------------------------------------------------------------------------------------------------------------------------------------------------
# Note: This table is limited to supernovae brighter than 16.5 mag in the V-band with the correction factors computed using a maximum redshift of 0.07.
# -----------------------------------------------------------------------------------------------------------------------------------------------------
# SNName,IAUName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,Recovered,l,b,MagV_corrected,dist_mod,abs_M_peak,comp_SNIa,F2_SNIa,weighted_N
ASASSN-13an,2013da,2013-06-05.34,13:45:36.22,-07:19:32.5,0.0216,16.3,999.0,15.8,999.0,3.51,Ia,0,2MASX J13453653-0719350,Yes,325.70600268417047,53.13413311063778,15.695254439237289,34.8666590388953,-19.17140459965801,0.5750873268355552,0.0925355951865826,18.791323974836367
ASASSN-13ar,2013dl,2013-06-17.61,01:18:41.89,-07:26:41.9,0.01775,15.1,999.0,14.8,999.0,30.12,Ia,-4,VV 478,Yes,142.35887988276508,-69.28209714295187,14.6520365866728,34.43408818890907,-19.782051602236272,0.6518349521151181,0.20645849965583302,7.430697622573009
ASASSN-13av,2013ei,2013-06-26.47,21:26:31.84,+12:10:48.8,0.01729,15.7,999.0,15.7,999.0,15.23,Ia,-3,NGC 7068,Yes,64.42642218196636,-26.653379545714163,15.437060868195749,34.3763169902082,-18.93925612201245,0.574130965050914,0.06778720660653181,25.694566300154097
ASASSN-13aw,2013dr,2013-07-01.40,17:19:30.10,+47:42:03.4,0.016835,16.0,999.0,15.0,999.0,9.34,Ia,-8,CGCG 252-043,Yes,73.92444778016109,34.830086333143946,14.933604913233133,34.317660947382066,-19.384056034148934,0.6279625740739213,0.12276029417126953,12.972041175655969
ASASSN-13bb,2013ef,2013-07-04.56,01:55:20.87,+06:36:33.9,0.017405,16.0,999.0,15.7,999.0,19.56,Ia,-1,UGC 1395,Yes,149.87774344854387,-52.88608228356011,15.50548015717633,34.3909008042646,-18.885420647088267,0.5690845757952584,0.06305597528000156,27.86743121816072
ASASSN-13cc,2013ex,2013-08-19.62,05:32:46.62,-14:02:46.2,0.01044,15.6,999.0,15.0,999.0,65.44,Ia,---,NGC 1954,Yes,217.13550139576404,-23.65422816539997,14.61728103655821,33.26955024687434,-18.652269210316128,0.6009857235039769,0.0461389270918966,36.06353987194968
ASASSN-13ch,---,2013-08-28.24,16:16:33.97,-00:35:27.3,0.01646,15.8,999.0,15.8,999.0,7.8,Ia,-2,CGCG 023-030,Yes,12.259884166849416,33.50045625244093,15.475079397727525,34.268128727065545,-18.793049329338015,0.5688214047093747,0.055701224498455305,31.56162293122375
ASASSN-13cj,---,2013-08-27.27,16:17:11.08,+04:33:14.7,0.018,15.3,999.0,15.3,999.0,3.51,Ia,-3,CGCG 051-075,Yes,17.66923930737562,36.10404888788037,15.104372774532026,34.464868701827506,-19.36049592729548,0.6190417891165185,0.11899931908303905,13.574866150419885
ASASSN-13cp,---,2013-08-30.24,15:33:49.29,+21:08:20.3,0.023576,15.9,999.0,15.9,999.0,11.22,Ia,-1,ARK 477,Yes,32.74498038473737,52.631778718853,15.746059121886818,35.05995743671553,-19.313898314828712,0.583804018252549,0.11187740136259003,15.310541461711136
ASASSN-13dd,---,2013-09-24.63,09:07:36.82,+03:23:38.7,0.01255,15.2,999.0,15.2,999.0,5.44,Ia,-2,NGC 2765,Yes,226.66435619661868,31.62533655566989,15.112094648874235,33.67275749170786,-18.56066284283363,0.5838345002368772,0.04083222286090552,41.94761003760108
ASASSN-13dm,2013hk,2013-12-04.86,03:02:11.03,+15:55:37.9,0.017,15.9,999.0,15.6,999.0,1.08,Ia,1,2MASX J03021111+1555387,Yes,163.18959485683555,-36.52431072040218,15.252115173584276,34.33911078244007,-19.0869956088558,0.5905759860764836,0.08265228872206477,20.486573781193812
ASASSN-14ar,---,2014-04-24.28,09:09:41.68,+37:36:07.6,0.02298,16.7,999.0,16.0,999.0,1.41,Ia-91bg,-5,IC 527,Yes,185.53822385984645,42.707677228738326,15.944475867104332,35.00338775428692,-19.05891188718259,0.5515191592705249,0.07959939429035313,22.778736614327485
ASASSN-14ax,---,2014-05-04.47,17:10:00.68,+27:06:20.1,0.033,16.8,999.0,16.4,999.0,0.66,Ia,-5,SDSS J171000.69+270619.5,Yes,48.99889052436106,33.164062979821765,16.27188117041185,35.80538965139013,-19.53350848097828,0.5609722211510649,0.149295795235611,11.940185327075374
ASASSN-14ay,---,2014-05-19.55,15:57:02.99,+37:24:56.4,0.030869,16.6,999.0,16.3,999.0,5.87,Ia,-2,2MASX J15570268+3725001,Yes,59.7679127075896,49.862397050567225,16.243535933665598,35.65701099398754,-19.413475060321943,0.5564566773436461,0.12761216940343606,14.082395917584467
ASASSN-14bb,---,2014-05-19.33,12:14:11.35,+38:39:40.8,0.023,16.1,999.0,16.1,999.0,0.84,Ia,-2,2MASX J12141125+3839400,Yes,154.62644811817788,76.08437220674261,16.058377895418886,35.00530934949225,-18.946931454073365,0.5377193425426958,0.06849001954995267,27.152951936233478
ASASSN-14bt,---,2014-05-27.28,10:19:19.74,+58:30:19.7,0.0289,17.3,999.0,16.2,999.0,3.89,Ia,-6,UGC 5566,Yes,152.32821240200167,49.03047847067305,16.176356301632083,35.510716291474026,-19.334359989841943,0.5559722900053125,0.11495374600619702,15.646734925507351
ASASSN-14cb,---,2014-06-07.33,13:08:14.45,+62:02:02.5,0.033643,16.7,999.0,16.5,999.0,2.5,Ia,-2,2MASXi J1308145+620200,Yes,119.50002683266494,54.98211762954767,16.470168658566067,35.848323912432974,-19.378155253866908,0.5332917485211363,0.12180804019703982,15.394272865503428
ASASSN-14dz,---,2014-07-13.31,15:05:54.52,+12:44:43.3,0.022202,15.9,999.0,15.8,999.0,7.0,Ia,0,Mrk 842,Yes,15.07044520923804,55.434165645141285,15.701113209175364,34.92733169919009,-19.226218490014727,0.5792092880475757,0.09956072990992604,17.34109073496391
ASASSN-14ef,---,2014-07-20.27,22:12:10.71,-27:49:43.4,0.0287329999999999,16.5,999.0,15.2,999.0,6.22,Ia,9,MCG -05-52-046,Yes,22.35543547163695,-54.827379726099295,15.14617517488282,35.4978625654235,-20.351687390540683,0.6156527585223253,0.4427562252018184,3.6685926712366994
ASASSN-14eo,---,2014-07-26.57,01:57:36.72,+16:46:20.8,0.026819,15.9,999.0,15.8,999.0,9.24,Ia,-3,CGCG 461-012,Yes,144.91558928658733,-43.25667239286472,15.65648227274689,35.345078556879095,-19.688596284132203,0.6069886087202795,0.1826434239546629,9.020184465123837
ASASSN-14ep,---,2014-07-27.21,15:23:44.06,+68:37:55.6,0.022829,16.4,999.0,15.6,999.0,3.4,Ia,-2,CGCG 338-006,Yes,105.08878718327388,42.83665654656952,15.535959580299618,34.98882638881375,-19.45286680851413,0.6054106206231767,0.1343869683373481,12.291158180474351
ASASSN-14es,---,2014-07-27.28,14:35:01.75,+26:32:38.9,0.030705,16.8,999.0,16.5,999.0,2.19,Ia,2,IC 4462,Yes,37.43483688911392,66.92487499066353,16.43223332041334,35.64517992157863,-19.21294660116529,0.523373584546915,0.09781380749714881,19.533858438539237
ASASSN-14eu,---,2014-08-01.02,15:00:36.84,-03:50:48.9,0.022722,16.6,999.0,15.3,999.0,50.53,Ia-00cx,-1,MCG -01-38-015,Yes,353.121546486506,46.0573783152599,14.88904281482672,34.978450598811705,-20.089407783984985,0.6346803837850589,0.3113018811333071,5.061312809405605
ASASSN-14ew,---,2014-08-04.05,20:22:00.75,-51:47:45.0,0.019597,16.3,999.0,14.9,999.0,8.29,Ia,-7,2MASX J20220000-5147474,Yes,346.9456474760631,-34.76634032863036,14.745972191487857,34.652068231302835,-19.906096039814976,0.6460650507952994,0.24338618714593158,6.359571062589506
ASASSN-14fa,---,2014-08-05.31,02:52:23.06,-31:49:18.0,0.0225889999999999,16.3,999.0,15.8,999.0,18.71,Ia,-6,ESO 416-G039,Yes,230.3861378159517,-63.35035631847,15.745617480694404,34.965486372053235,-19.21986889135883,0.5761210761283789,0.09872123160814346,17.582299432208693
ASASSN-14fo,---,2014-08-15.49,20:34:06.43,-01:58:03.6,0.02,15.9,999.0,15.6,999.0,6.0,Ia,1,GALEXASC J203406.21-015759.2,Yes,43.424567975854,-23.63589155045956,15.267562677980813,34.696928940024044,-19.42936626204323,0.6168457192947425,0.13030638321908874,12.441070585384413
ASASSN-14fw,---,2014-08-18.47,23:49:06.72,-07:02:56.6,0.027169,16.7,999.0,16.5,999.0,2.0,Ia,6,MCG -01-60-044,Yes,83.71737693783766,-65.06119356083116,16.423275866455455,35.37379999216256,-18.950524125707105,0.5063772405403845,0.06882147554766598,28.694710164865228
ASASSN-14gh,---,2014-08-28.29,17:15:09.35,+41:48:39.3,0.044,17.0,999.0,15.6,999.0,3.94,Ia,-5,SDSS J171509.30+414841.6,Yes,66.68157231951344,35.067976625259554,15.542705008011168,36.447578214577845,-20.90487320656668,0.6035129758720812,0.8970149474148775,1.8471990983158362
ASASSN-14hp,---,2014-09-22.13,21:30:31.42,-70:38:34.4,0.0389199999999999,16.6,999.0,16.5,999.0,15.95,Ia,-7,2MASX J21303015-7038489,Yes,321.8577705911255,-38.23739102466002,16.4156932680232,36.17313431355776,-19.75744104553456,0.5527360056804491,0.19987806079274498,9.051428328434156
ASASSN-14hr,---,2014-09-25.39,01:50:41.23,-14:31:04.7,0.03362,16.5,999.0,15.9,999.0,1.62,Ia,-7,2MASX J01504127-1431032,Yes,173.48242419321724,-71.30644160317526,15.863954917004758,35.846802040077435,-19.98284712307268,0.591038583108457,0.2697219965413359,6.272891873319187
ASASSN-14hu,---,2014-09-27.37,06:43:26.82,-69:38:14.4,0.015,16.1,999.0,15.6,999.0,31.02,Ia,-6,ESO 058-G012,Yes,280.17087340975826,-25.994466522088988,15.406550527229893,34.06403522974126,-18.657484702511365,0.5713184924939674,0.0464612642688755,37.67304246311334
ASASSN-14ig,---,2014-09-21.33,01:16:04.95,-61:37:15.8,0.0289999999999999,16.3,999.0,16.3,999.0,1.0,Ia,3,ESO 113-G032,Yes,297.7959853949505,-55.260763012864096,16.24310077151356,35.518378339048226,-19.275277567534665,0.5457551809924889,0.10628260572546941,17.240106299689774
ASASSN-14in,---,2014-10-04.29,18:24:30.02,+52:26:29.4,0.033,16.4,999.0,16.0,999.0,6.3,Ia,-8,2MASX J18242915+5226380,Yes,80.95734882369788,25.156440617373264,15.90288117041185,35.80538965139013,-19.90250848097828,0.5905543232356188,0.24222383865844774,6.990741840591089
ASASSN-14iu,---,2014-10-12.61,09:10:39.53,+50:22:48.3,0.016855,16.1,999.0,15.5,999.0,1.5,Ia,0,NGC 2771,Yes,168.15320069568875,42.46849780727566,15.445804338950936,34.32027195963947,-18.87446762068853,0.5717163548926427,0.06213476211960667,28.150411253054852
ASASSN-14jc,---,2014-10-19.34,07:35:35.29,-62:46:12.6,0.011325,16.1,999.0,15.6,999.0,3.11,Ia,-4,2MASX J07353554-6246099,Yes,274.5525562058127,-19.11630911972772,15.17790108068209,33.44770440881008,-18.269803328127992,0.5798147251117522,0.02763068034650272,62.41934122106043
ASASSN-14jg,---,2014-10-29.05,23:33:13.82,-60:34:12.5,0.014827,15.0,999.0,14.9,999.0,13.98,Ia,-3,2MASX J23331223-6034201,Yes,319.1860552944768,-54.02074928263142,14.85779636900507,34.03856057137777,-19.1807642023727,0.6136679543508385,0.09370010825468461,17.391076371955013
ASASSN-14jz,---,2014-11-10.03,18:44:44.34,-52:48:05.5,0.012,15.7,999.0,14.9,999.0,16.48,Ia,-9,GALEXASC J184443.33-524819.2,Yes,343.05866442862083,-20.333679481621022,14.753687570993266,33.574536133524084,-18.82084856253082,0.5977831278122776,0.05781790232758917,28.933036558173274
ASASSN-14kd,---,2014-11-12.28,22:53:24.95,+04:47:57.3,0.026,16.8,999.0,15.9,999.0,3.1,Ia,-8,2MASX J22532475+0447583,Yes,76.68774390351733,-47.19735613660759,15.719477050276454,35.27640666376551,-19.55692961348906,0.6005108421901931,0.153906879182584,10.819846887587655
ASASSN-14kq,---,2014-11-23.07,23:45:15.51,-29:47:01.1,0.0336,17.0,999.0,16.3,999.0,9.52,Ia,-6,2MASX J23451480-2947009,Yes,18.69374778395981,-75.22742100718551,16.254242729984256,35.845477845766666,-19.59123511578241,0.5645281286373974,0.16091466902651447,11.008262507540095
ASASSN-14kr,---,2014-11-23.64,12:54:13.15,-07:38:57.4,0.0139999999999999,15.5,999.0,15.5,999.0,7.47,Ia,27,GALEXASC J125413.02-073849.5,Yes,304.13995106040585,55.21594605665875,15.406212168044782,33.91257186312305,-18.506359695078267,0.5713485722338959,0.037977105338740505,46.0868466995134
ASASSN-14lo,---,2014-12-08.58,11:51:53.19,+18:32:31.0,0.01993,16.0,999.0,15.8,999.0,19.2,Ia,-4,UGC 6837,Yes,241.88904514391345,73.83553805227375,15.710647710562366,34.689201069892874,-18.97855335933051,0.5615102859813076,0.0714625574051207,24.920900410723256
ASASSN-14lp,---,2014-12-09.61,12:45:09.10,-00:27:32.5,0.0051,14.3,999.0,11.9,999.0,12.0,Ia,---,NGC 4666,Yes,299.5415920515063,62.37133138924319,11.833487047507637,31.705014624658467,-19.87152757715083,0.6912616572668655,0.2324295084716842,6.223952477874113
ASASSN-14lq,---,2014-12-09.21,22:57:19.41,-20:58:00.8,0.026191,16.2,999.0,16.2,999.0,23.1,Ia-91T,4,2MASX J22571481-2058014,Yes,40.042010663616175,-63.29284971853214,16.117973356487333,35.29260964425849,-19.17463628777116,0.5475033170564801,0.09293607827857799,19.653002217406414
ASASSN-14lt,---,2014-12-10.37,03:11:02.54,-13:06:38.8,0.032046,16.5,999.0,16.5,999.0,6.7,Ia,-6,IC 299,Yes,196.6895104071023,-54.52037271616628,16.35464413893282,35.74015856444824,-19.385514425515417,0.5448876310064519,0.1229967142113669,14.92105533095701
ASASSN-14lu,---,2014-12-09.65,14:10:39.52,-02:40:56.0,0.0269949999999999,16.4,999.0,16.4,999.0,5.8,Ia,---,2MASX J14103977-0241003,Yes,338.67895767427905,54.59621649405878,16.22573679007952,35.35956700194866,-19.133830211869142,0.5357132210702836,0.08800098469824628,21.211926011597427
ASASSN-14lv,---,2014-12-12.05,23:32:07.37,-41:16:11.7,0.049194,17.4,999.0,16.4,999.0,2.42,Ia,7,LCRS B232926.0-413242,Yes,346.8639744920626,-68.44018628768045,16.36558275157814,36.69803964991006,-20.33245689833192,0.5432100624615624,0.4315492794604494,4.26581284794084
ASASSN-14lw,---,2014-12-12.07,01:06:49.17,-46:59:00.0,0.016,16.4,999.0,15.5,999.0,12.5,Ia,-8,GALEXASC J010647.95-465904.1,Yes,295.2755765261509,-69.91559538660987,15.46169410497224,34.20582367644481,-18.74412957147257,0.5690054937118572,0.05216695999947125,33.68899157727893
ASASSN-14me,---,2014-12-16.08,01:26:40.22,-57:59:49.9,0.018,16.3,999.0,14.9,999.0,1.15,Ia,-15,ESO 113-G047,Yes,293.9930436430328,-58.51541985510386,14.842872774532026,34.464868701827506,-19.62199592729548,0.6437031556441137,0.16747246059103,9.276218302158258
ASASSN-14mf,---,2014-12-16.05,00:04:54.46,-32:26:14.6,0.0311,16.7,999.0,15.9,999.0,2.3,Ia,-6,GALEXASC J000454.54-322615.3,Yes,2.3837480486343128,-78.60324047388357,15.864868376406609,35.67357156808204,-19.80870319167543,0.5944702003841446,0.21385008662004537,7.866118422476012
ASASSN-14mu,---,2014-12-29.39,09:26:17.25,+45:29:25.2,0.027249,16.5,999.0,16.5,999.0,1.33,Ia,3,KUG 0923+457,Yes,174.45439304876405,45.67401856956966,16.454590595167407,35.38031391401705,-18.925723318849645,0.5021248819455382,0.06656548554430029,29.918454347075258
ASASSN-14mw,---,2014-12-29.08,01:41:25.16,-65:37:01.3,0.027406,16.8,999.0,15.7,999.0,36.27,Ia,-5,AM 0139-655 NED02,Yes,294.82196403238424,-50.71692629408279,15.646317519510577,35.39304313444442,-19.746725614933844,0.6077730783289369,0.19708414932338086,8.348469099175661
ASASSN-14my,---,2014-12-30.29,11:38:29.98,-08:58:35.8,0.0205139999999999,16.5,999.0,15.3,999.0,4.44,Ia,-3,NGC 3774,Yes,274.3218556865693,49.79992146097936,15.199441721201293,34.75287027287624,-19.553428551674944,0.6265214560867935,0.1532089230056412,10.417895378534473
ASASSN-15ad,---,2014-12-29.18,6:23:44.87,-16:5:51.0,0.024,16.3,999.0,16.3,999.0,14.67,Ia,-4,PGC 902451,Yes,224.4270632461277,-13.267263321742773,15.74029255399131,35.09935200699404,-19.35905945300273,0.5876855234553969,0.11877353643642577,14.326342168460892
ASASSN-15ae,---,2015-01-01.63,15:51:5.81,34:25:55.8,0.0312399999999999,17.4,999.0,16.4,999.0,4.98,Ia,-5,2MASX J15510599+3425520,Yes,55.06774640926088,51.046534785385234,16.3198393559154,35.683549798786345,-19.363710442870943,0.5463266017879904,0.11950603040926763,15.316439910795026
ASASSN-15aj,---,2015-01-08.30,10:52:53.26,-32:55:34.9,0.01092,15.0,999.0,14.7,999.0,6.36,Ia,-3,NGC 3449,Yes,275.9827968580443,23.66830325563612,14.494913676523415,33.367956085296,-18.873042408772584,0.6071102497774701,0.06201589629346912,26.560081915722062
ASASSN-15ak,---,2015-01-09.22,0:12:1.58,26:23:37.3,0.01503,15.1,999.0,14.7,999.0,3.36,Ia-91T,---,UGC 110,Yes,112.05964317708136,-35.64463088759532,14.583453290160788,34.068423217460875,-19.484969927300085,0.6480293308013768,0.14015077422377337,11.010570844464594
ASASSN-15as,---,2015-01-13.44,9:39:16.55,6:25:48.5,0.0279999999999999,16.4,999.0,16.1,999.0,3.4,Ia,-1,SDSS J093916.69+062551.1,Yes,228.3136110681561,39.96902515375921,15.98006626867722,35.44056472662131,-19.46049845794409,0.5793944970677243,0.1357371573918463,12.715307985811663
ASASSN-15az,---,2015-01-14.46,11:8:37.6,-10:14:57.9,0.0283199999999999,16.3,999.0,16.3,999.0,19.0,Ia,-1,2MASX J11083863-1014456,Yes,265.75174180678925,45.07220120966196,16.135949626168504,35.465757481111886,-19.329807854943382,0.5587686314824319,0.11426250934174305,15.662613282549065
ASASSN-15ba,---,2015-01-15.64,14:4:55.09,8:55:14.5,0.02313,16.6,999.0,15.8,999.0,0.86,Ia,-5,SDSS J140455.12+085514.0,Yes,350.0132936027398,64.84030712056472,15.731791650063938,35.01775979973026,-19.28596814966632,0.5823705616934846,0.10780402973377631,15.928159325221001
ASASSN-15be,---,2015-01-19.07,2:52:46.39,-34:18:52.5,0.0219,16.4,999.0,15.6,999.0,7.0,Ia,-10,GALEXASC J025245.83-341850.6,Yes,235.88448017427768,-63.06348777091892,15.547014969300056,34.89709979834116,-19.3500848290411,0.5976059663366424,0.11737200033795578,14.256751149348352
ASASSN-15bf,---,2015-01-19.12,4:38:41.1,-41:37:26.2,0.04853,17.7,999.0,16.1,999.0,4.77,Ia,8,2MASX J04384102-4137212,Yes,245.8238304266464,-41.84001598506746,16.052466426883157,36.66749014256545,-20.61502371568229,0.5637805666936114,0.6250720384033226,2.837656523572213
ASASSN-15bm,---,2015-01-22.36,15:5:51.58,-5:37:37.0,0.0206,16.6,999.0,15.5,999.0,0.14,Ia,-10,GALEXASC J150551.56-053737.2,Yes,352.74748654474104,43.865022854097866,15.284951481914929,34.76209502734439,-19.477143545429456,0.6190128716886609,0.13872518014227772,11.645148277478413
ASASSN-15bn,---,2015-01-23.63,15:55:35.35,66:43:19.3,0.0279999999999999,16.7,999.0,16.1,999.0,7.69,Ia,-2,GALEXASC J155536.57+664316.5,Yes,100.59901426270116,41.53073949242852,16.017866268677217,35.44056472662131,-19.422698457944094,0.5743527491238812,0.1291695756186018,13.479105208621396
