# Compiled by Dhvanil Desai using 2013-2017 ASAS-SN Bright Supernova Catalogues from Holoien et al. (2017a, 2017b, 2017c, 2019)
ASASSN-15bo,---,2015-01-22.58,14:44:55.22,24:34:43.7,0.0363,17.1,999.0,16.1,999.0,0.32,Ia,-9,SDSS J144455.21+243443.9,Yes,33.637693908187195,64.39590214970916,15.993754630490065,36.01763097480816,-20.02387634431809,0.5814039792647163,0.2850098207231466,6.034790182872396
ASASSN-15cd,---,2015-01-26.46,9:59:14.99,12:59:18.3,0.03435,17.1,999.0,16.4,999.0,3.85,Ia,-1,CGCG 064-017,Yes,223.54854149348083,47.412256918845664,16.32253165246314,35.89461586717071,-19.57208421470757,0.558172752580165,0.1569642914270407,11.413806449939079
ASASSN-15cq,---,2015-02-08.57,13:23:48.46,43:17:59.1,0.02728,15.9,999.0,15.9,999.0,5.2,Ia,-2,CGCG 218-007,Yes,102.95417293319136,72.5506869916479,15.866395833854236,35.38283301699921,-19.516437183144973,0.5899117033323047,0.14601832037615065,11.60928944398512
ASASSN-15cz,---,2015-02-12.48,11:35:24.4,57:38:59.6,0.02877,16.1,999.0,16.0,999.0,3.21,Ia,-9,SBS 1132+579,Yes,141.42178581366898,56.664901524302,15.96659380270178,35.50071669848998,-19.5341228957882,0.584070307904522,0.14941504274705544,11.458837161080888
ASASSN-15db,---,2015-02-15.58,15:46:58.69,17:53:2.6,0.011,15.2,999.0,14.5,999.0,2.84,Ia,-5,NGC 5996,Yes,29.50946358946725,48.631718667829055,14.409011609573906,33.38393878788335,-18.974927178309446,0.6134853223162734,0.07111531773906389,22.920952890945085
ASASSN-15dd,---,2015-02-15.58,15:43:59.07,19:12:40.7,0.02437,16.5,999.0,16.1,999.0,2.6,Ia,-10,CGCG 107-031,Yes,31.0371768338651,49.75800452023983,15.950940316821631,35.13317432388228,-19.18223400706065,0.5601382480642588,0.09388427006912256,19.01568336381298
ASASSN-15dz,---,2015-02-20.59,16:41:20.87,8:54:31.7,0.03222,17.1,999.0,16.3,999.0,0.95,Ia,-5,CGCG 080-055,Yes,25.79051839182884,32.91044340569491,16.136763767937527,35.75219641508173,-19.6154326471442,0.5744624257771014,0.16605058697949138,10.48329862213382
ASASSN-15eb,---,2015-02-26.33,8:6:7.4,-22:33:48.9,0.01648,15.9,999.0,15.7,999.0,1.17,Ia,0,ESO 561-G012,Yes,241.4973224775256,5.056955344866752,15.181275464793138,34.27079845918209,-19.08952299438895,0.5937713309421965,0.08293260628402693,20.30745321225618
ASASSN-15fa,---,2015-03-17.63,17:9:46.03,62:58:27.0,0.02741,16.7,999.0,16.3,999.0,13.89,Ia,-6,NGC 6319,Yes,92.68663556243992,35.434146126455346,16.22741836421821,35.393366510618065,-19.165948146399856,0.5380790105996824,0.09186322099157403,20.2307638008121
ASASSN-15fk,---,2015-03-19.12,5:40:12.18,-38:48:42.5,0.03597,17.2,999.0,16.4,999.0,27.17,Ia,-5,2MASX J05401415-3848285,Yes,244.1235878061337,-29.860539694950173,16.332215470414795,35.99727339010446,-19.665057919689666,0.5596018393812101,0.17712213126904022,10.088998032614189
ASASSN-15fr,---,2015-03-24.35,9:20:20.44,-7:38:26.8,0.03344,16.5,999.0,16.5,999.0,3.61,Ia,-4,2MASX J09202045-0738229,Yes,239.3306813655989,28.22888144928368,16.402542616087487,35.834856483078106,-19.43231386699062,0.5438142296411123,0.13081186430590463,14.057312435726805
ASASSN-15fs,---,2015-03-25.56,18:58:40.82,43:28:7.9,0.0290199999999999,16.5,999.0,16.3,999.0,2.5,Ia-91T,-8,CGCG 229-010,Yes,73.57749175896929,17.055074479119643,16.062609295418874,35.519907641606935,-19.45729834618806,0.5733441928341761,0.13516948773310256,12.9034521013431
ASASSN-15fy,---,2015-03-29.38,19:50:22.34,-14:17:46.0,0.025,16.6,999.0,16.2,999.0,3.0,Ia,8,Uncatalogued,Yes,26.39488779037497,-19.38623969729642,15.789630518462165,35.189619091763724,-19.39998857330156,0.5877629110356458,0.1253662264919679,13.571169300627325
ASASSN-15ga,---,2015-03-30.29,12:59:27.29,14:10:15.8,0.00663,15.4,999.0,15.1,999.0,2.4,Ia,-5,NGC 4866,Yes,311.5417721791504,76.90859576995777,15.025386445732671,32.27728396668476,-17.25189752095209,0.5826064826732746,0.006962389272475388,246.52807577049754
ASASSN-15go,---,2015-04-06.05,6:11:30.5,-16:29:3.5,0.01892,16.5,999.0,15.8,999.0,5.0,Ia,-9,2MASX J06113048-1629085,Yes,223.53230814535056,-16.100379164100733,15.372598165012924,34.57461851142578,-19.20202034641286,0.5940676861291976,0.09639791117693255,17.462099025530943
ASASSN-15gr,---,2015-04-09.05,6:45:20.58,-34:53:38.1,0.024,16.6,999.0,16.0,999.0,18.93,Ia,-6,ESO 366-G015,Yes,244.26556755580305,-16.275745879632986,15.74199255399131,35.09935200699404,-19.35735945300273,0.587456221083086,0.1185068526085899,14.364186285629383
ASASSN-15gw,---,2015-04-10.54,14:16:23.97,39:30:9.0,0.01951,16.3,999.0,16.2,999.0,1.7,Ia,---,NGC 5536,Yes,73.36681303095303,68.45343351556657,16.170151055219243,34.64226436467838,-18.47211330945914,0.524284349404523,0.03627596127121674,52.57922455682393
ASASSN-15he,---,2015-04-12.34,16:31:33.5,-67:52:4.2,0.01588,16.3,999.0,16.2,999.0,10.41,Ia,-3,ESO 069-G005,Yes,321.4283450456011,-13.30949422863701,15.973884932048447,34.18927900185075,-18.2153940698023,0.5371146197616099,0.025675071969786103,72.51391559557733
ASASSN-15hf,---,2015-04-17.05,10:29:30.76,-35:15:35.2,0.00618,14.9,999.0,14.3,999.0,2.16,Ia,-7,ESO 375-G041,Yes,272.8123493700247,19.179819796265846,14.034950138512915,32.12390853991246,-18.088958401399548,0.6147538345105864,0.02164840582135936,75.14028415067071
ASASSN-15hh,---,2015-04-20.02,5:51:18.69,-50:35:9.8,0.02339,16.0,999.0,15.7,999.0,15.78,Ia,-5,NGC 2115A,Yes,257.8995328375575,-29.922983877024866,15.53744703940894,35.042455557056606,-19.505008517647667,0.6082328784601723,0.14386181464020917,11.428377391817794
ASASSN-15ho,---,2015-04-19.06,9:9:23.89,-4:43:31.0,0.046,16.9,999.0,16.2,999.0,7.83,Ia,0,2MASXi J0909234-044327,Yes,234.85804052774336,27.69026140674762,16.15359241203997,36.54725494721455,-20.393662535174577,0.5588316915583657,0.4681578033865634,3.822317036458165
ASASSN-15hx,---,2015-04-26.18,13:43:16.69,-31:33:21.5,0.0081,15.1,999.0,13.3,999.0,3.06,Ia,-11,GALEXASC J134316.80-313318.2,Yes,315.6842718855162,30.028831643590937,13.169447136449936,32.714588471810146,-19.54514133536021,0.6890206352374475,0.1515690880242268,9.57540460230415
ASASSN-15hy,---,2015-04-25.21,20:10:2.35,0:44:21.3,0.025,16.5,999.0,15.2,999.0,12.9,Ia-07if,-14,Uncatalogued,Yes,42.85892489875111,-17.060182041560996,14.873430518462165,35.189619091763724,-20.31618857330156,0.6267218668928769,0.42227540031378347,3.7785865104379335
ASASSN-15hz,---,2015-04-26.38,22:29:38.08,-65:27:56.2,0.033,17.4,999.0,16.1,999.0,3.58,Ia,-6,APMUKS(BJ) B222606.49-654315.6,Yes,323.1090580633828,-45.71381472588916,16.032581170411852,35.80538965139013,-19.77280848097828,0.5835284992261683,0.2039599595854987,8.402199926153296
ASASSN-15ic,---,2015-04-27.00,6:14:51.38,-42:47:56.0,0.025,16.5,999.0,15.9,999.0,29.0,Ia,-3,2MASX J06145320-4247357,Yes,250.21428192973983,-24.431142992356467,15.749430518462166,35.189619091763724,-19.44018857330156,0.592874110667589,0.1321711666283162,12.76147254338636
ASASSN-15ih,---,2015-05-06.07,9:59:59.57,9:59:59.6,0.01983,16.4,999.0,16.0,999.0,8.39,Ia,-6,GALEXASC J095959.71-025322.1,Yes,227.5417720058512,46.18947340507459,15.907126505436818,34.678114719443144,-18.770988214006326,0.544212264234619,0.05407795963602758,33.979061382150334
ASASSN-15il,---,2015-05-11.31,15:57:8.15,-12:40:23.9,0.02332,16.5,999.0,16.2,999.0,1.77,Ia,-5,2MASX J15570808-1240252,Yes,357.55323702449755,29.90031089288092,15.744227730674318,35.03583336025255,-19.291605629578235,0.5821059142828091,0.10861466857599233,15.816467994114547
ASASSN-15ja,---,2015-05-13.43,1:9:39.03,-61:19:58.3,0.02632,16.3,999.0,16.0,999.0,1.5,Ia,-4,ESO 113-G018,Yes,299.06116676943554,-55.65830342015922,15.94473553954436,35.303487528048215,-19.35875198850385,0.5748106599279851,0.11872526192630743,14.653185584750409
ASASSN-15jf,---,2015-05-12.40,22:25:11.08,-50:23:47.5,0.036,16.2,999.0,16.2,999.0,1.6,Ia,-9,GALEXASC J222510.84-502347.7,Yes,342.9521250206505,-53.80501205840444,16.166936885768898,35.99913159245395,-19.83219470668505,0.5731493273771029,0.22060282083001062,7.908992277680016
ASASSN-15jl,---,2015-05-13.39,15:22:41.12,50:58:35.4,0.03475,17.5,999.0,16.1,999.0,1.0,Ia,-10,SDSS J152241.16+505836.0,Yes,83.21038646610374,52.840524880010506,16.062491760205837,35.92039604242062,-19.857904282214783,0.5805363800733133,0.2282577735450049,7.546489683088802
ASASSN-15jo,---,2015-05-20.14,14:6:44.67,-34:27:17.4,0.011,16.4,999.0,15.2,999.0,95.64,Ia,---,ABELL S0753,Yes,320.13606577071096,25.88853964623513,15.029711609573903,33.38393878788335,-18.35422717830945,0.5862870442383102,0.030961381930403053,55.089567904875274
ASASSN-15jt,---,2015-05-22.34,13:8:9.13,27:49:34.9,0.023,17.1,999.0,16.2,999.0,0.95,Ia,-13,2MASX J13080914+2749354,Yes,44.556168176924345,86.22785909442192,16.169377895418883,35.00530934949225,-18.835931454073368,0.5260501036570105,0.05900048872513576,32.21938752182737
ASASSN-15kg,---,2015-05-27.99,8:40:12.01,-4:35:31.0,0.01426,15.8,999.0,15.1,999.0,7.61,Ia,-7,2MASX J08401168-0435369,Yes,230.39603944387505,21.645970816244773,15.042499002314887,33.95295783040734,-18.91045882809245,0.5898544443668869,0.06521379885110148,25.996545676611134
ASASSN-15kk,---,2015-06-05.28,9:18:31.05,74:19:7.0,0.00989,14.5,999.0,14.1,999.0,4.5,Ia,-5,UGC 4883,Yes,138.38733278590576,35.66235510968666,14.012961269538383,33.151117421802745,-19.13815615226436,0.6360028029524949,0.08851179163569012,17.763962128724675
ASASSN-15kn,---,2015-06-07.09,12:41:50.55,-7:10:11.9,0.02473,16.4,999.0,16.1,999.0,4.44,Ia,-1,2MASX J12415081-0710092,Yes,298.7140552227697,55.623173057647406,16.0199625253489,35.16560158691361,-19.145639061564708,0.5524690285745366,0.08940222428693789,20.246210110204487
ASASSN-15kp,---,2015-06-07.99,12:58:41.76,-32:7:26.0,0.0174,16.0,999.0,15.3,999.0,8.05,Ia,-4,AM 1255-315,Yes,304.7195263633552,30.72266528140343,15.075979306884218,34.390268706398466,-19.314289399514248,0.6165101186079599,0.11193546215707063,14.490791055364001
ASASSN-15kq,---,2015-06-06.95,6:48:43.87,-54:12:16.7,0.02676,16.8,999.0,16.3,999.0,1.35,Ia,-7,GALEXASC J064843.83-541213.4,Yes,263.79566750086764,-22.086212403863897,16.027161298868776,35.34020074956454,-19.31303945069576,0.5655065375608482,0.11174999377293746,15.823948558642282
ASASSN-15kx,---,2015-06-10.57,22:16:11.81,37:28:26.1,0.0180199999999999,16.4,999.0,15.9,999.0,2.33,Ia,-8,MCG +06-49-001,Yes,91.79818652380828,-15.840673359219618,15.46117524779486,34.46731288497518,-19.00613763718032,0.5759845118918123,0.07415914585603711,23.411243141359723
ASASSN-15la,---,2015-06-11.33,14:12:51.22,35:42:39.8,0.0279,16.6,999.0,16.4,999.0,0.67,Ia,-8,NGC 5517,Yes,64.32705296786607,70.67916153343,16.350009285350815,35.432634078549974,-19.08262479319916,0.5210362181197159,0.08216970606391423,23.357177099536887
ASASSN-15lg,---,2015-06-15.35,13:15:32.84,3:30:2.3,0.0203199999999999,16.3,999.0,15.8,999.0,2.12,Ia,-11,CGCG 044-042,Yes,317.67525281463844,65.67990484628312,15.716810384057895,34.73192023446914,-19.01510985041125,0.5630096246844208,0.07505757728393035,23.664080754043592
ASASSN-15li,---,2015-06-16.34,14:25:7.69,62:53:29.7,0.0261,16.2,999.0,16.2,999.0,2.58,Ia,3,2MASX J14250783+6253235,Yes,106.1743884266292,51.07967082246179,16.1580282232346,35.2849044177353,-19.1268761945007,0.5406803014999414,0.08718589166245008,21.21354449090845
ASASSN-15lp,---,2015-06-20.61,1:49:10.32,5:38:23.3,0.01769,15.1,999.0,15.1,999.0,1.49,Ia,4,MRK 576,Yes,148.14096647525574,-54.38164101431972,14.92272659413651,34.426637198263535,-19.503910604127025,0.6362188605559925,0.14365619593983206,10.941304341977267
ASASSN-15lu,---,2015-06-20.32,13:21:12.9,40:15:56.4,0.0350399999999999,17.1,999.0,16.5,999.0,0.36,Ia,---,2MASX J13211289+4015564,Yes,99.69188476230268,75.48996402070127,16.4624793506778,35.93890613437934,-19.476426783701537,0.5408165153374414,0.1385952834715226,13.34140608487042
ASASSN-15mc,---,2015-07-05.61,2:48:59.57,3:10:10.5,0.0139199999999999,16.1,999.0,15.0,999.0,11.39,Ia,-9,UGC 2295,Yes,170.628385031131,-48.508806655585424,14.837311944228896,33.89999597639637,-19.062684032167475,0.6050980654620632,0.08000292029899227,20.657054506352654
ASASSN-15mf,---,2015-07-07.32,14:14:22.8,2:58:31.0,0.026,16.5,999.0,16.2,999.0,2.6,Ia,-3,UGC 9108 NED02,Yes,345.89334917657806,58.74700169154357,16.100777050276456,35.27640666376551,-19.175629613489058,0.5488906560638445,0.09305951352356051,19.577326526209834
ASASSN-15mi,---,2015-07-06.32,14:3:15.75,41:36:14.4,0.03445,17.0,999.0,16.3,999.0,1.79,Ia,---,MRK 0283a,Yes,82.08022778615857,69.36417248055513,16.248613744999062,35.901088285778435,-19.652474540779373,0.5664161609872242,0.17424338496150815,10.13230057058382
ASASSN-15mp,---,2015-07-17.27,0:58:45.27,-14:4:11.8,0.037,16.7,999.0,16.3,999.0,0.89,Ia,---,2MASX J00584521-1404122,Yes,130.74244644794453,-76.83060727172929,16.244302769864113,36.060222766070815,-19.815919996206706,0.5672318823100589,0.21590050518791848,8.165554997771913
ASASSN-15nn,---,2015-07-24.59,1:52:18.17,48:5:17.3,0.0226199999999999,16.8,999.0,16.0,999.0,1.5,Ia,---,UGC 1332,Yes,133.32164129352287,-13.551971596258316,15.459023676464277,34.96851480856902,-19.509491132104746,0.6124175706107137,0.14470412587617026,11.28421737159119
ASASSN-15np,---,2015-08-06.26,15:6:2.65,7:33:41.5,0.0376899999999999,17.1,999.0,16.5,999.0,0.36,Ia,-1,2MASX J15060265+0733415,Yes,7.675163068609326,52.59931769721168,16.42519655848434,36.10144406940157,-19.676247510917232,0.5513679782642266,0.17972434345855054,10.09140309570031
ASASSN-15nq,---,2015-08-06.38,17:17:19.23,33:27:43.3,0.03042,17.0,999.0,16.2,999.0,6.36,Ia,-7,2MFGC 13779,Yes,56.82620838153759,33.21839262413016,16.079644109241332,35.624471917980856,-19.544827808739523,0.5764932226798616,0.15150738425349455,11.449117005367995
ASASSN-15nr,---,2015-08-06.37,17:26:41.84,13:54:35.5,0.0232099999999999,16.8,999.0,16.0,999.0,4.79,Ia-91T,-5,CGCG 082-031,Yes,36.34611958831412,24.94897817795115,15.653903646659971,35.02538745135234,-19.371483804692367,0.5935326054749507,0.12073973071045552,13.95420874294747
ASASSN-15ns,---,2015-08-06.33,16:40:28.02,39:19:12.8,0.03067,16.5,999.0,16.2,999.0,0.3,Ia,-3,MRK 887,Yes,62.76462373639839,41.40127375085719,16.16721131515878,35.64264699080556,-19.47543567564678,0.5665098691729578,0.13841585063993317,12.752833624436759
ASASSN-15oh,---,2015-08-14.42,22:30:41.98,39:17:35.2,0.01684,16.7,999.0,16.1,999.0,4.61,Ia,-5,MCG +06-49-027,Yes,95.30525826402784,-15.912439993152162,15.711704742255034,34.318313987568395,-18.60660924531336,0.5555747472325644,0.043412278081906605,41.461492016578624
ASASSN-15ol,---,2015-08-15.20,1:54:6.04,-56:41:42.5,0.01978,16.5,999.0,15.3,999.0,15.0,Ia,-8,NGC 745,Yes,286.5000433580452,-58.38910770073554,15.218115325324789,34.67255086174187,-19.45443553641708,0.6207046438070253,0.13466349739288397,11.963689029002198
ASASSN-15om,---,2015-08-15.42,2:13:7.47,-45:18:8.0,0.04172,16.8,999.0,16.4,999.0,7.0,Ia,1,LCRS B021111.4-453206,Yes,266.46414327448315,-65.61206439919107,16.355795275412348,36.32843306934045,-19.9726377939281,0.5549687141905884,0.2660522813658788,6.772741685716639
ASASSN-15pe,---,2015-09-07.28,17:20:15.35,39:8:60.0,0.03793,16.7,999.0,16.3,999.0,5.09,Ia,4,CGCG 226-005,Yes,63.65562820989666,33.73090976986216,16.193806224452796,36.11560968011687,-19.921803455664072,0.5695409174367851,0.2485456642657967,7.064295832945031
ASASSN-15pl,---,2015-09-11.36,2:30:23.17,-20:41:0.1,0.01617,16.3,999.0,15.0,999.0,5.26,Ia,---,ESO 545-G025,Yes,202.354829806898,-66.53113762769522,14.93480049108795,34.22905324314438,-19.29425275205643,0.6205666987923589,0.10899731084661139,14.784129233335026
ASASSN-15pp,---,2015-09-12.31,5:40:9.96,-55:32:34.8,0.02396,17.1,999.0,16.0,999.0,12.35,Ia,-1,ESO 159-G023,Yes,263.4948504534128,-32.00974206184597,15.830975866395525,35.095664887569924,-19.2646890211744,0.5746627769465099,0.1047959446316548,16.605136732478087
ASASSN-15pr,---,2015-09-13.17,23:6:39.5,-12:34:22.4,0.0330899999999999,16.1,999.0,16.1,999.0,2.75,Ia,-6,2MASX J23063962-1234238,Yes,58.44356526528894,-61.48513796920499,16.012695421799283,35.81144806745653,-19.79875264565725,0.584757397571393,0.2110574240853188,8.102585864319705
ASASSN-15pz,---,2015-09-27.16,3:8:48.44,-35:13:50.9,0.0149,16.7,999.0,14.2,999.0,21.81,Ia,-2,ESO 357-G005,Yes,237.00539149484024,-59.688296723363166,14.151100790917926,34.04934566057514,-19.898244869657216,0.6665807291714818,0.24085014654896353,6.228741837147387
ASASSN-15qc,---,2015-10-01.48,0:39:17.98,3:57:0.1,0.01765,15.5,999.0,15.4,999.0,14.04,Ia,-6,UGC 402,Yes,117.08322353108656,-58.78380917965491,15.331119764272248,34.42165599869188,-19.090536234419638,0.5873332038106729,0.0830452486903219,20.502209000706934
ASASSN-15re,---,2015-10-13.30,20:48:7.78,16:23:1.3,0.03031,16.9,999.0,16.2,999.0,2.14,Ia,-9,CGCG 448-007,Yes,61.92862961849355,-16.71360745789573,16.00276985061751,35.61642851845544,-19.61365866783793,0.5841816251470013,0.1656684150033768,10.33266597647767
ASASSN-15rq,---,2015-10-21.00,0:8:3.14,-36:33:51.8,0.024,16.1,999.0,15.4,999.0,5.34,Ia,-6,GALEXASC J000802.78-363348.1,Yes,344.4890930186786,-76.83009264635967,15.36529255399131,35.09935200699404,-19.73405945300273,0.6221936386314505,0.19383591317050888,8.29163524465508
ASASSN-15rw,---,2015-10-24.49,2:15:58.45,12:14:13.6,0.0189,16.2,999.0,15.5,999.0,1.56,Ia,-9,GALEXASC J021558.44+121415.2,Yes,153.1782133209492,-45.61174392782159,15.12949772174147,34.57228913980041,-19.44279141805894,0.6238981696004304,0.13262331221673693,12.085549972189453
ASASSN-15sb,---,2015-10-23.34,6:0:48.09,-15:23:57.3,0.02271,16.5,999.0,16.3,999.0,0.21,Ia,---,2MFGC 4848,Yes,221.3965514630769,-18.00633112880302,15.434140655775058,34.97728396242108,-19.543143306646023,0.6151296024513815,0.15117628011382384,10.753496986895678
ASASSN-15sf,---,2015-10-30.09,0:11:27.6,-6:25:38.4,0.027,16.4,999.0,15.9,999.0,12.53,Ia,-4,GALEXASC J001127.51-062549.8,Yes,96.47864224179682,-67.22279091580576,15.81843833522969,35.35997725034802,-19.541538915118327,0.5940056471739728,0.1508615714547677,11.15914186975589
ASASSN-15sh,---,2015-11-02.01,19:32:7.01,-62:26:30.0,0.031,16.4,999.0,16.1,999.0,19.22,Ia-91T,7,2MASX J19320827-6226340,Yes,334.1374770203824,-28.48634509751528,15.949713895618718,35.666417314094595,-19.71670341847588,0.5892373259628688,0.18947839833178903,8.95674159959876
ASASSN-15so,---,2015-11-08.62,11:14:11.04,48:19:7.2,0.00713,15.1,999.0,13.8,999.0,1.5,Ia,---,NGC 3583,Yes,158.11563353147912,61.62942688950903,13.7602733073328,32.43599690079533,-18.67572359346253,0.6237084830670281,0.047606700829001404,33.678307922414184
ASASSN-15sx,---,2015-11-19.21,0:12:14.37,-27:11:35.3,0.03481,16.5,999.0,16.3,999.0,11.8,Ia,-2,ESO 472-G018,Yes,30.2655554683811,-81.28298082762167,16.24747167117549,35.92423805768778,-19.67676638651229,0.5668676249904832,0.1798459926868602,9.808838418283617
ASASSN-15tb,---,2015-11-23.65,12:40:58.19,-6:41:34.9,0.02461,16.5,999.0,16.2,999.0,15.99,Ia,-4,LCRS B123822.1-062502,Yes,298.2701812242885,56.08393953375032,16.133625198490087,35.15484433212573,-19.02121913363564,0.5355467236692454,0.07567543105333475,24.67446414234654
ASASSN-15tg,---,2015-11-30.21,0:20:41.06,25:13:44.6,0.03561,16.7,999.0,16.4,999.0,8.63,Ia-91T,-8,GALEXASC J002041.66+251341.1,Yes,114.2018462241945,-37.12082294213909,16.329452976820335,35.97485625488878,-19.645403278068443,0.5595098585287721,0.17264735603278591,10.352192162562368
ASASSN-15ti,---,2015-12-01.38,3:5:8.62,37:54:0.7,0.016,16.5,999.0,15.8,999.0,23.88,Ia,-2,2MASX J03051061+3754003,Yes,150.09863171636735,-17.81880612865757,15.39519410497224,34.20582367644481,-18.810629571472568,0.572854987659035,0.057030426556511984,30.60896758216339
