SNName,TNSName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,DiscAtel,ClassAtel
ASASSN-19qx,SN 2019knu,2019-07-05.40,'03:17:52.67,'-07:18:11.88,0.017062,17.7,---,16.18,7.24,II,38,2MASS J03175281-0718048,,
ASASSN-19rf,AT 2019ksa,2019-07-07.72,'12:13:30.48,'-42:39:37.26,0.016215,15.6,---,15.42,14.67,Unk,4,2MASX J12133085-4239232,,
ASASSN-19ro,AT 2019lcx,2019-07-14.18,'04:58:57.60,'-22:06:05.80,Unk,17.3,---,17,3.23,Unk,6,2MASX J04585777-2206038,,
ASASSN-19rv,SN 2019llt,2019-07-20.16,'13:33:55.46,'+29:33:25.74,0.037239,17.5,---,16.69,0.25,Ia,14,2MASX J13335542+2933255,,
ASASSN-19sb,SN 2019lrb,2019-07-21.77,'13:07:03.00,'+13:04:29.64,0.027439,17.1,---,15.54,0.29,Ic,-5,MRK 0784,,
ASASSN-19sf,SN 2019lsm,2019-07-25.28,'14:35:02.60,'+14:46:37.60,0.04168,17.9,---,17.23,7.28,Ibn,3,SDSS J143502.16+144639.5,,
ASASSN-19sj,SN 2019ltw,2019-07-25.88,'16:18:38.50,'+21:58:23.27,0.016077,17.1,---,14.98,0.4,II,13,CGCG 137-076,,
ASASSN-19sv,SN 2019lyb,2019-07-29.210,'15:11:03.33,'+52:03:00.68,0.036876,17.8,---,16.69,5.74,Ia,7,CGCG 274-031,,
ASASSN-19sx,AT 2019lzw,2019-07-30.27,'21:05:29.16,'-52:10:39.57,0.048957,17.6,---,16.97,0.48,Unk,11,2MASX J21052915-5210389,,
ASASSN-19sy,SN 2019meo,2019-07-31.42,'05:34:07.12,'-29:36:39.78,0.036312,17.4,---,17,6.27,Ia-91T,7,2MASX J05340703-2936335,,
ASASSN-19tc,SN 2019mkv,2019-08-02.03,'22:52:30.21,'-46:41:44.23,0.051135,17.7,---,16.72,5.52,Ia,10,2MASX J22523075-4641446,,
ASASSN-19to,SN 2019msz,2019-08-03.30,'20:32:09.39,'-59:11:58.85,0.060502,17.6,---,16.83,6.72,Ia,11,2MASX J20320857-5912013,,
ASASSN-19tr,SN 2019muj,2019-08-07.41,'02:26:18.46,'-09:50:09.92,0.007035,17.4,---,16,45.13,Iax,3,VV 525,,
ASASSN-19tt,SN 2019mxk,2019-08-08.29,'02:12:04.55,'-25:44:40.20,0.056336,18,---,17.03,0.72,Ia,3,2MASX J02120459-2544404,,
ASASSN-19tx,SN 2019nyn,2019-08-20.09,'01:07:37.22,'-41:51:11.74,0.023947,17.1,---,16.7,7.63,II,-6,AM 0105-420 NED02,,
ASASSN-19ub,SN 2019odl,2019-08-22.28,'21:45:25.01,'-62:00:24.12,0.063197,18.1,---,17.45,0.58,Ia,-1,2MASX J21452513-6200240,,
ASASSN-19ui,SN 2019omk,2019-08-23.34,'23:21:30.82,'-61:36:56.63,0.041,17.2,---,16.75,1.21,Ia,7,GALEXASC J232130.77-613657.8,,
ASASSN-19uj,SN 2019omo,2019-08-24.31,'03:12:27.89,'-64:55:38.89,0.0335,17.6,---,16.71,4.64,II,0,APMUKS(BJ) B031141.45-650647.3,,
ASASSN-19uk,SN 2019ope,2019-08-25.14,'23:06:52.50,'-37:51:00.54,0.060442,17.8,---,17.44,3.94,Ia,2,2MASX J23065255-3750566,,
ASASSN-19ul,AT 2019opf,2019-08-24.75,'17:37:12.21,'-84:10:57.00,Unk,18.1,---,16.81,10.64,Unk,-11,2MASX J17371018-8411071,,
ASASSN-19uo,SN 2019oqj,2019-08-24.26,'16:13:13.16,'+17:48:34.67,0.037186,18.2,---,17.22,6.48,Ia,4,2MASX J16131301+1748283,,
ASASSN-19up,SN 2019oqr,2019-08-26.23,'23:51:15.83,'-37:42:40.39,0.050648,17.8,---,17.44,1.05,Ia,9,2MASX J23511587-3742412,,
ASASSN-19vg,AT 2019ovt,2019-08-28.48,'02:37:39.89,'+34:25:54.59,0.016395,17.8,---,17.43,1.27,Unk,-1,UGC 02105,,
ASASSN-19vh,SN 2019ovu,2019-08-28.26,'02:10:05.74,'-32:56:19.64,0.011174,17.2,---,16.09,6.2,Iax,21,IC 1783,,
ASASSN-19vi,AT 2019oyo,2019-08-28.74,'14:38:49.56,'-42:02:42.76,Unk,17.8,---,17.37,22.6,Unk,-4,2MASS J14384754-4202410,,
ASASSN-19vj,SN 2019ozb,2019-08-29.99,'13:44:41.93,'-29:54:13.03,0.042,17.5,---,16.32,5.6,Ia,7,WISEA J134442.13-295419.8,,
ASASSN-19vk,SN 2019ozz,2019-08-30.20,'19:20:01.80,'-60:49:06.49,0.036232,17.6,---,16.58,1.09,Ia,13,FAIRALL 0056,,
ASASSN-19vo,SN 2019phq,2019-09-02.27,'00:35:30.30,'-52:10:56.06,0.042029,17.5,---,16.4,14.76,Ia-91T,11,FAIRALL 0368,,
ASASSN-19vp,SN 2019pig,2019-09-03.14,'15:01:33.46,'+49:06:35.24,0.02602,16.6,---,16.62,7.01,Ia,9,SDSS J150132.77+490633.3,,
ASASSN-19vq,SN 2019pil,2019-09-03.57,'03:37:21.12,'+05:21:17.68,0.032289,18,---,17.85,1.04,Ia,26,MCG +01-10-002,,
ASASSN-19we,AT 2019pky,2019-09-04.22,'19:05:49.46,'-54:32:53.30,Unk,17.2,---,16.59,2.87,Unk,16,GALEXASC J190549.75-543254.4,,
ASASSN-19wf,SN 2019pkz,2019-09-04.25,'19:58:29.58,'+61:13:08.76,0.05,17.2,---,17.18,0.34,Ia,11,VII Zw 923,,
ASASSN-19xa,AT 2019qmj,2019-09-21.39,'03:22:46.21,'-54:13:39.65,Unk,17.2,---,16.81,1.84,Unk,-3,2MASX J03224607-5413381,,
ASASSN-19xb,SN 2019qqh,2019-09-22.37,'02:38:58.04,'-53:20:57.41,0.05,17.9,---,17.4,5.26,Ia,-5,GALEXASC J023858.68-532054.6,,
ASASSN-19xc,AT 2019qqi,2019-09-22.010,'21:09:03.37,'-42:35:51.11,0.062793,17.9,---,17.7,0.11,Unk,0,2MASX J21090333-4235508,,
ASASSN-19xg,SN 2019qti,2019-09-22.35,'06:43:16.51,'-49:29:30.91,0.037513,17.5,---,17.17,12.87,Ia,-1,ESO 206-G 021,,
ASASSN-19xj,AT 2019qwc,2019-09-20.93,'00:00:41.67,'-61:35:43.66,Unk,17.7,---,17.12,0.52,Unk,18,2MASX J00004176-6135434,,
ASASSN-19xl,SN 2019qwd,2019-09-24.38,'07:12:08.74,'-49:23:06.72,0.0319,17.6,---,17.24,0.87,Ia,3,2MASX J07120867-4923063,,
ASASSN-19xp,AT 2019riz,2019-09-26.25,'23:46:29.30,'-73:00:04.54,Unk,17.4,---,17.24,0.16,Unk,2,GALEXASC J234629.25-730004.4,,
ASASSN-19xt,SN 2019rix,2019-09-27.35,'06:28:11.11,'-49:08:51.14,0.046,17.4,---,17.01,4.17,Ia,4,2MASX J06281076-4908540,,
ASASSN-19xu,AT 2019riy,2019-09-28.13,'16:20:09.51,'+37:47:53.59,0.03365,17.6,---,17.61,0.14,Unk,0,NGC 6122,,
ASASSN-19xv,SN 2019rjm,2019-09-28.34,'04:18:33.75,'+08:53:32.06,0.029,17.3,---,17.11,1.67,Ia,0,KUG 0415+087,,
ASASSN-19yi,AT 2019rqt,2019-10-02.19,'19:45:11.99,'-55:20:27.35,0.01494,17.2,---,16.91,0.2,Unk,0,2MASX J19451202-5520269,,
ASASSN-19yk,SN 2019rwq,2019-10-05.22,'02:18:57.68,'-66:23:30.19,0.0255,17.7,---,16.27,1.66,Ic,7,2MASS J02185760-6623310,,
ASASSN-19yl,AT 2019rws,2019-10-05.00,'06:10:32.63,'-62:32:17.95,0.027969,16.5,---,16.15,0.77,Unk,4,NGC 2205,,
ASASSN-19yo,AT 2019scp,2019-09-29.29,'06:37:02.35,'-44:09:31.61,0.016992,17.8,---,17,0.22,Unk,-10,2MASX J06370231-4409318,,
ASASSN-19yx,SN 2019shq,2019-10-08.37,'08:44:28.64,'-31:41:25.69,0.016165,16.7,---,15.77,21.62,Ia,-9,ESO 432-IG 006,,
ASASSN-19ze,SN 2019spq,2019-10-16.76,'00:01:19.10,'-43:18:03.13,0.036,17.4,---,16.24,0.26,Ia,2,WISEA J000119.11-431803.6,,
ASASSN-19zh,SN 2019sss,2019-10-18.31,'03:02:49.92,'-60:52:16.46,0.04,16.7,---,16.34,4.24,Ia,4,WISEA J030250.18-605212.7,,
ASASSN-19zr,AT 2019tib,2019-10-19.27,'23:49:23.87,'-45:29:08.81,Unk,17.5,---,17.12,0.81,Unk,-4,WISEA J234923.93-452908.9,,
ASASSN-19zs,AT 2019tif,2019-10-25.05,'20:36:41.31,'-38:07:30.90,0.024831,17.9,---,17.28,0.28,Unk,5,WISEA J203641.28-380730.7,,
ASASSN-19zt,AT 2019tiy,2019-10-25.210,'06:17:06.82,'-62:40:03.61,Unk,17.8,---,17.02,3.48,Unk,6,WISEA J061707.23-624005.4,,
ASASSN-19zu,SN 2019tiz,2019-10-24.410,'03:34:51.03,'-02:49:48.28,0.038,18.1,---,16.75,0.13,Ia,13,WISEA J033451.06-024948.3,,
ASASSN-19zv,SN 2019tja,2019-10-25.21,'22:14:32.46,'-69:22:11.96,0.010621,17.5,---,13.81,33.81,Ia,17,IC 5173B,,
ASASSN-19zw,SN 2019tjm,2019-10-26.29,'01:16:45.17,'-28:33:39.96,0.036655,17.2,---,16.41,4.66,Ia-91T,18,AM 0114-284 NED03,,
ASASSN-20ag,SN 2020ga,2020-01-05.36,'13:54:24.23,'-48:30:44.86,0.00918,15.5,---,13.91,0.3,Ia,15,NGC 5333,,
ASASSN-20ah,SN 2020np,2020-01-07.14,'00:55:47.85,'-51:25:51.46,0.025,16,---,15.63,1.47,Ia,-1,WISEA J005547.91-512550.5,,
ASASSN-20ao,AT 2020aap,2020-01-15.11,'00:54:46.18,'-51:30:39.46,0.024934,17.3,---,15.97,3.45,Unk,7,WISEA J005446.43-513036.9,,
ASASSN-20aq,SN 2020afp,2020-01-18.66,'12:55:41.25,'+27:15:01.98,0.023733,16.7,---,15.86,0.87,Ia,-19,IC 3900,,
ASASSN-20ar,SN 2020agu,2020-01-19.41,'11:58:31.60,'-20:41:53.74,0.025,17.4,---,16.72,2.76,II,-1, WISEA J115831.49-204155.9,,
ASASSN-20as,SN 2020ais,2020-01-19.61,'11:44:28.62,'+10:47:01.32,0.019707,18,---,17.46,0.49,Ia-91bg,7,IC 0727,,
ASASSN-20bl,SN 2020big,2020-01-29.32,'05:01:15.78,'-14:01:27.59,0.024467,17.7,---,17.1,4.35,Ibn,13,WISEA J050115.92-140124.3,,
ASASSN-20bm,SN 2020bkp,2020-01-30.29,'13:34:00.45,'-50:29:55.97,0.013231,17,---,16.41,45.53,II,12,ESO 220-G 019,,
ASASSN-20bn,AT 2020bou,2020-02-01.36,'08:58:40.10,'-73:19:31.57,0.038473,17.1,---,16.02,5.6,Unk,6,ESO 036-G 015,,
ASASSN-20bo,AT 2020bql,2020-02-02.27,'06:18:40.35,'-57:40:13.57,0.040074,17.5,---,16.89,11.06,Unk,7,WISEA J061838.77-574009.4,,
ASASSN-20bs,SN 2020bvc,2020-02-04.63,'14:33:57.02,'+40:14:38.11,0.025235,17.1,---,16.69,18.6,Ic-BL,13,UGC 09379,,
ASASSN-20bu,SN 2020bwr,2020-02-03.61,'16:34:59.35,'+36:12:27.07,0.060637,17.4,---,17.03,1,II,12,2MASS J16345923+3612274,,
ASASSN-20bx,AT 2020chs,2020-02-11.81,'02:12:39.89,'-40:13:50.59,Unk,17,---,16.58,0.17,Unk,-1,WISEA J021239.88-401350.5,,
ASASSN-20bz,SN 2020cwd,2020-02-19.20,'06:06:59.06,'-49:00:24.84,0.052,17.4,---,17.3,3.5,Ibn,2,WISEA J060658.80-490023.1,,
ASASSN-20cj,SN 2020dht,2020-02-24.21,'13:53:12.58,'-40:21:51.80,0.039,17.8,---,17,8.02,Ia,7,WISEA J135312.42-402144.0,,
ASASSN-20cq,AT 2020drr,2020-02-27.78,'02:01:10.14,'-33:12:30.10,0.035555,16.9,---,16.21,2.63,Unk,8,WISEA J020110.33-331231.8,,
ASASSN-20dk,SN 2020eqv,2020-03-21.31,'08:49:13.18,'-14:17:37.75,0.017706,16.8,---,16.66,1.46,Ia,0,NGC 2674,,
ASASSN-20dl,SN 2020esm,2020-03-22.37,'14:07:18.26,'-05:07:37.31,0.036188,17.7,---,16.14,15.91,IIP,12,WISEA J140717.48-050726.1,,
ASASSN-20dn,SN 2020euy,2020-03-23.34,'13:36:29.48,'+47:34:26.36,0.062312,17.7,---,17.43,0.4,Ic,-9,WISEA J133629.46+473426.1,,
ASASSN-20ed,SN 2020hvn,2020-04-20.32,'11:19:38.02,'+30:06:43.20,0.023386,17.8,---,17.64,0.66,II,0,2MASX J11193797+3006422,,
ASASSN-20ep,AT 2020jfw,2020-05-09.16,'00:12:39.27,'-27:15:30.89,0.026557,16.1,---,15.91,1.12,Unk,0,WISEA J001239.27-271530.7,,
ASASSN-20es,AT 2020jvv,2020-05-13.610,'04:47:07.03,'-50:03:01.62,0.018076,16,---,15.97,11.48,Unk,1,ESO 203-G 002,,
ASASSN-20fh,AT 2020kny,2020-05-19.97,'18:23:06.41,'-77:43:18.34,0.0045,17.3,---,15.98,0.95,Unk,15,ESO 024-IG 015 NED01,,
ASASSN-20fo,AT 2020lgs,2020-05-28.310,'21:40:25.42,'-14:15:12.56,0.060765,17.9,---,17.8,1.12,Unk,3,WISEA J214025.48-141512.9,,
ASASSN-20fp,AT 2020lgt,2020-05-28.60,'00:38:32.10,'+23:36:48.13,0.024867,17.3,---,17,0.51,Unk,8,MRK 0344,,
ASASSN-20fu,AT 2020lkp,2020-05-30.15,'01:27:02.39,'-10:15:54.43,0.023026,16.8,---,16.68,0.48,Unk,0,NGC 0567,,
ASASSN-20fv,SN 2020llx,2020-05-31.02,'21:52:14.01,'-55:33:44.75,0.009947,15,---,14.89,28.28,II,3,NGC 7140,,
ASASSN-20gb,SN 2020lyo,2020-06-08.30,'11:22:13.30,'+24:19:02.42,0.025684,16.6,---,16.44,0.69,Ia,0,IC 2759,,
ASASSN-20gq,AT 2020naw,2020-06-19.18,'03:48:24.51,'-26:43:08.44,Unk,17.5,---,16.85,0.96,Unk,16,WISEA J034824.52-264308.7,,
ASASSN-20gv,AT 2020nbt,2020-06-19.72,'09:07:26.62,'-16:29:11.47,Unk,17.3,---,16.94,0.84,Unk,7,WISEA J090726.56-162911.5,,
ASASSN-20gw,AT 2020nbu,2020-06-20.510,'01:55:00.84,'-04:41:03.73,Unk,16.9,---,16.71,0.69,Unk,9,WISEA J015500.83-044103.4,,
ASASSN-20hd,AT 2020ngz,2020-06-22.82,'10:29:02.12,'-40:05:20.54,0.00935,17,---,16.55,27.81,Unk,9,NGC 3250E,,
ASASSN-20he,AT 2020nhi,2020-06-23.12,'02:24:26.00,'-51:44:52.51,Unk,16.7,---,16.39,2.7,Unk,2,WISEA J022426.05-514453.8,,
ASASSN-20hg,AT 2020nju,2020-06-23.72,'09:51:06.54,'-00:24:26.75,Unk,17.1,---,16.13,1.1,Unk,10,WISEA J095106.55-002425.8,,
ASASSN-20hh,AT 2020nkm,2020-06-24.77,'11:00:56.71,'+10:30:15.70,0.036272,17,---,17.05,4.68,Unk,-19,NGC 3492,,
ASASSN-20hk,AT 2020nni,2020-06-26.27,'18:08:22.46,'+17:03:12.92,Unk,16.9,---,16.62,3.1,Unk,6,WISEA J180822.35+170309.5,,
ASASSN-20ho,SN 2020nub,2020-06-30.11,'02:03:56.03,'-23:18:50.33,0.016558,16.8,---,16.15,11.58,IIn,11,NGC 0808,,
ASASSN-20hx,AT 2020ohl,2020-07-10.34,'17:03:36.53,'+62:01:32.38,0.016657,16.7,---,16.06,0.19,Unk,37,NGC 6297,,
ASASSN-20il,AT 2020pom,2020-07-08.19,'05:03:11.47,'-22:48:49.72,0.015841,16.2,---,16.38,0.81,Unk,0,ESO 486-G 017,,
ASASSN-20im,SN 2020ppi,2020-07-17.74,'19:13:45.42,'-59:18:02.66,0.014637,17.5,---,17.34,33.17,II,3,IC 4830,,
ASASSN-20in,AT 2020pqe,2020-07-15.97,'22:19:46.67,'-56:37:49.40,Unk,17.3,---,16.36,8.08,Unk,9,WISEA J221947.45-563746.2,,
ASASSN-20io,AT 2020pua,2020-07-19.72,'11:53:44.85,'-54:06:19.22,0.022416,17,---,16.99,20.94,Unk,5,ESO 171-G 001,,
ASASSN-20iu,AT 2020pyh,2020-07-20.90,'21:48:05.66,'-35:00:22.14,Unk,17.4,---,17.13,6.27,Unk,9,GALEXASC J214805.10-350023.4,,
ASASSN-20iw,AT 2020qbt,2020-07-21.18,'06:14:46.97,'-63:00:14.00,0.036699,17.3,---,16.59,9.33,Unk,2,ESO 087-G 001,,
ASASSN-20jb,SN 2020qes,2020-07-24.06,'00:13:26.14,'-28:01:58.94,0.026095,16.7,---,15.55,0.72,Ia,9,WISEA J001326.15-280159.3,,
ASASSN-20je,AT 2020qll,2020-07-26.12,'04:01:18.01,'-52:48:04.18,0.033517,17.4,---,16.54,1.46,Unk,10,IC 2029,,
ASASSN-20jf,AT 2020qlo,2020-07-29.01,'00:05:27.87,'-28:52:38.64,0.0621,17.4,---,16.47,0.62,Unk,11,WISEA J000527.90-285238.1,,
ASASSN-20jj,SN 2020qmz,2020-07-29.010,'03:43:56.32,'-20:31:40.15,0.040498,17.3,---,16.27,6.37,Ia,3,WISEA J034356.16-203146.4,,
ASASSN-20jq,SN 2020qxp,2020-08-08.13,'13:10:37.84,'+36:37:43.72,0.003639,16.8,---,16.16,18.52,Ia,4,NGC 5002,,
ASASSN-20jr,AT 2020ral,2020-08-10.25,'15:17:17.44,'+54:45:46.76,0.038765,16.8,---,16.52,0.14,Unk,14,WISEA J151717.46+544546.0,,
ASASSN-20ju,AT 2020reu,2020-08-11.27,'13:14:17.23,'+77:43:26.00,Unk,17.9,---,17.22,5.63,Unk,-4,WISEA J131416.19+774329.0,,
ASASSN-20jz,AT 2020rim,2020-08-14.39,'22:16:45.85,'-22:53:29.62,0.0557,17.8,---,17.18,1.71,Unk,-13,WISEA J221645.89-225329.7,,
ASASSN-20ki,AT 2020rsy,2020-08-19.81,'23:20:51.17,'-41:15:46.33,Unk,17,---,16.92,19.81,Unk,1,WISEA J232051.64-411606.6,,
ASASSN-20km,AT 2020rub,2020-08-21.23,'22:17:06.15,'-26:38:38.98,0.060065,17,---,17.07,6.76,Unk,0,WISEA J221705.91-263845.0,,
ASASSN-20kn,AT 2020ruq,2020-08-19.95,'20:34:00.85,'-44:16:50.38,0.022949,17.2,---,16.19,8.24,Unk,14,ESO 285-G 031,,
ASASSN-20ko,SN 2020rvf,2020-08-22.13,'03:54:16.00,'+15:55:42.92,0.022222,17.5,---,16.79,1.3,Ia,-5,CGCG 465-012,,
ASASSN-20ky,AT 2020sde,2020-08-26.810,'01:04:59.96,'-46:04:33.10,0.029887,16.8,---,16.68,0.81,Unk,9,WISEA J010459.90-460432.8,,
ASASSN-20ld,SN 2020sjw,2020-09-01.96,'18:37:09.03,'-65:15:37.44,0.015491,15.7,---,15.17,10.72,II,8,AM 1832-652 NED01,,
ASASSN-20le,AT 2020svh,2020-09-07.87,'00:54:18.44,'-61:53:34.57,0.027746,16.5,---,16.41,0.31,Unk,3,WISEA J005418.42-615334.0,,
ASASSN-20lk,AT 2020svp,2020-09-08.72,'13:50:32.65,'-30:02:55.86,0.017886,15.9,---,15.85,0.97,Unk,1,ESO 445-G 054,,
ASASSN-20ll,AT 2020swi,2020-09-08.86,'00:58:44.99,'-67:13:13.12,Unk,17.8,---,16.85,13.94,Unk,-4,WISEA J005845.40-671259.3,,
ASASSN-20ls,SN 2020tld,2020-09-15.910,'00:29:41.54,'-51:32:09.46,0.011201,17,---,15.3,55.05,Ia,10,ESO 194-G 021,,
ASASSN-20lu,AT 2020tll,2020-09-16.06,'00:09:57.34,'-57:01:28.45,0.031572,16.8,---,16.67,20.78,Unk,2,NGC 0025,,
ASASSN-20lv,SN 2020tnq,2020-09-16.14,'08:34:33.04,'-01:57:28.87,0.030334,17.1,---,16.92,10.64,Ia,0,WISEA J083433.71-015732.7,,
ASASSN-20mi,AT 2020ual,2020-09-23.01,'21:15:40.24,'-49:04:34.61,0.0311,17.1,---,16.71,2.3,Unk,8,WISEA J211540.40-490436.2,,
ASASSN-20mr,SN 2020ukx,2020-09-28.14,'09:12:20.53,'-24:10:19.27,0.002305,15.1,---,14.82,14.35,Ia,26,NGC 2784,,
ASASSN-20nh,AT 2020ybf,2020-10-20.210,'04:29:47.39,'-67:03:20.23,Unk,17.2,---,16.97,0.36,Unk,6,WISEA J042947.41-670319.8,,
ASASSN-20nt,SN 2020yzn,2020-11-06.08,'19:33:22.41,'-58:07:22.12,0.014643,16.5,---,16.26,41.17,Ia-91bg,-4,ESO 142-G 019,,
ASASSN-20nu,SN 2020yzo,2020-11-06.35,'06:43:32.10,'-72:35:25.55,0.018503,15.9,---,15.61,16.18,II,4,ESO 034-G 012,,
ASASSN-20nv,SN 2020zbo,2020-11-06.28,'03:22:16.12,'-33:49:17.80,0.04327,17,---,16.81,0.32,Ia,0,WISEA J032216.20-334917.9,,
ASASSN-20nw,AT 2020zbw,2020-11-09.83,'19:30:47.90,'-71:04:17.28,0.01423,16.5,---,16.26,5.95,Unk,-6,IC 4853,,
ASASSN-20nx,AT 2020zbx,2020-11-06.07,'19:41:38.61,'-50:10:11.82,0.024704,16.4,---,16.02,5.55,Unk,-3,WISEA J194139.08-501008.2,,
ASASSN-20nz,SN 2020zdm,2020-11-09.91,'06:29:22.21,'-48:51:58.10,0.05,17.8,---,17.18,4.35,Ia,3,WISEA J062922.45-485200.8,,
ASASSN-20ob,AT 2020zmw,2020-11-13.15,'21:36:25.21,'-15:02:33.61,0.038483,17.2,---,16.71,1.27,Unk,2,WISEA J213625.22-150234.4,,
ASASSN-20oc,SN 2020zoq,2020-11-14.56,'10:36:21.57,'+13:43:07.36,0.010044,17.5,---,16.69,26.5,II,18,UGC 05760,,
ASASSN-20od,SN 2020zqo,2020-11-13.31,'04:02:55.17,'-31:20:17.02,0.059658,18.3,---,17.26,2.22,Ia,12,WISEA J040255.26-312018.9,,
ASASSN-20oe,AT 2020zre,2020-11-11.96,'06:54:00.75,'-65:25:01.31,0.040918,17,---,16.62,2.92,Unk,2,WISEA J065400.82-652458.2,,
ASASSN-20oj,AT 2020aaix,2020-11-16.50,'11:06:49.42,'+47:51:11.59,0.06427,17.5,---,15.42,0.39,Unk,18,CGCG 241-080 NED02,,
ASASSN-20ol,SN 2020aakp,2020-11-18.18,'06:43:06.11,'-74:12:49.56,0.023349,17.4,---,15.75,5.13,Ia,13,ESO 034-IG 011 NED01,,
ASASSN-20op,AT 2020aary,2020-11-22.19,'03:21:29.87,'-61:46:12.32,Unk,16.6,---,16,0.43,Unk,7,WISEA J032130.17-614613.0,,
ASASSN-20pa,AT 2020ablj,2020-12-03.07,'23:12:12.50,'-57:59:36.10,0.042656,17,---,16.41,0.85,Unk,-4,WISEA J231212.63-575936.1,,
ASASSN-20pe,AT 2020aboy,2020-12-05.13,'02:31:08.72,'-57:41:51.25,0.037733,17.7,---,16.66,1.95,Unk,-8,2MASX J02310876-5741509,,
ASASSN-20pf,SN 2020abql,2020-12-05.35,'08:21:32.21,'-80:33:59.90,0.015,15.9,---,15.19,34.53,Ia,1,ESO 018-G 006,,
ASASSN-20pi,SN 2020abww,2020-12-07.14,'03:14:25.07,'-62:27:02.70,0.059,17.6,---,17.07,2.48,Ia,-5,WISEA J031424.99-622705.1,,
ASASSN-20pm,SN 2020abzv,2020-12-09.00,'02:01:39.65,'-68:26:12.19,0.026992,16.6,---,15.95,21.7,Ia,21,NGC 0813,,
ASASSN-20pu,SN 2020acpc,2020-12-12.52,'09:42:37.42,'+24:18:07.60,0.051371,18,---,17.73,30.03,Ia,3,WISEA J094236.66+241835.8,,
ASASSN-20pz,SN 2020adaf,2020-12-14.08,'02:25:08.11,'-61:33:19.94,0.048,17.9,---,17.05,8.6,Ia,9,ESO 115-IG 010 NED02,,
ASASSN-20qb,SN 2020adgf,2020-12-18.82,'05:14:12.14,'-51:09:08.32,0.06,18.1,---,17.26,19.83,Ia-91T,10,WISEA J051414.04-510859.3,,
ASASSN-20qc,AT 2020adgm,2020-12-20.27,'04:13:02.37,'-53:04:21.79,Unk,17.4,---,15.56,0.35,Unk,40,WISEA J041302.39-530422.2,,
ASASSN-20qg,SN 2020adkz,2020-12-22.49,'11:37:30.16,'+19:02:33.76,0.029603,17.2,---,16.04,8.15,Ia,11,KUG 1134+193,,
ASASSN-20qh,SN 2020adlh,2020-12-22.34,'13:38:26.10,'-31:15:50.04,0.038013,17,---,16.62,3.02,Ia,12,ESO 444-IG 089 NED02,,
ASASSN-20qi,SN 2020adnu,2020-12-22.29,'11:38:08.32,'-32:51:07.88,0.030625,17.2,---,15.8,0.67,Ia,12,WISEA J113808.29-325108.4,,
ASASSN-20qj,SN 2020adow,2020-12-26.41,'08:33:42.27,'+27:42:43.85,0.007505,16.2,---,14.67,4.06,Ic-BL,10,KUG 0830+278,,
ASASSN-20qk,SN 2020adox,2020-12-24.28,'04:53:40.27,'-31:09:10.55,0.074,17.5,---,17,4.9,Ia,4,WISEA J045340.31-310913.1,,